                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.45935,                 1.0774,                0.33563,                 1.0917,                0.99861,                      1,                  0.995,                0.90607,                0.99861,                      1,                  0.995,                0.86577,                0.49187,                0.91523,                0.37994,                 1.1043,             0.00016615,             0.00016615,             0.00016615
                     39,                 0.4547,                0.99656,                 0.3231,                 1.0905,                0.99909,                      1,                  0.995,                0.91928,                0.99909,                      1,                  0.995,                0.86873,                0.48064,                0.89779,                0.37003,                 1.0757,             0.00014416,             0.00014416,             0.00014416
                     40,                 0.4602,                0.95386,                0.54744,                 1.1951,                0.99888,                      1,                  0.995,                0.89363,                0.99888,                      1,                  0.995,                 0.8548,                0.51903,                0.92521,                0.40627,                 1.1459,              0.0001236,              0.0001236,              0.0001236
                     41,                0.38969,                0.82592,                0.36107,                 1.1136,                0.99781,                      1,                  0.995,                0.90089,                0.99781,                      1,                  0.995,                 0.8584,                0.49734,                0.93843,                0.39967,                 1.1246,             0.00010454,             0.00010454,             0.00010454
                     42,                0.37521,                0.82782,                0.33417,                 1.1094,                 0.9981,                      1,                  0.995,                0.91111,                 0.9981,                      1,                  0.995,                0.86566,                0.47035,                0.90645,                0.36453,                 1.0988,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     43,                0.37758,                0.79399,                0.31427,                 1.0786,                0.99926,                      1,                  0.995,                0.91157,                0.99926,                      1,                  0.995,                0.86753,                0.47903,                0.87493,                0.36109,                 1.1189,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     44,                0.37072,                0.79606,                0.31799,                 1.0856,                0.99933,                      1,                  0.995,                0.91638,                0.99933,                      1,                  0.995,                 0.8737,                0.45594,                0.87625,                0.35792,                 1.0876,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     45,                 0.3704,                0.77663,                0.30291,                 1.0776,                0.99933,                      1,                  0.995,                 0.9141,                0.99933,                      1,                  0.995,                0.86838,                0.45164,                0.88011,                0.35495,                  1.078,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     46,                0.36616,                0.77448,                0.31586,                 1.0923,                0.99933,                      1,                  0.995,                0.90755,                0.99933,                      1,                  0.995,                0.87062,                0.46306,                0.87778,                0.35125,                  1.087,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     47,                0.35305,                0.76735,                0.30988,                 1.0853,                 0.9993,                      1,                  0.995,                0.91928,                 0.9993,                      1,                  0.995,                0.86727,                0.45666,                0.87741,                 0.3448,                 1.0751,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     48,                0.33659,                0.74973,                0.29521,                 1.0524,                0.99932,                      1,                  0.995,                0.91737,                0.99932,                      1,                  0.995,                0.86875,                0.45164,                0.88286,                 0.3361,                 1.0716,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     49,                0.35946,                0.74438,                0.29403,                 1.0582,                0.99931,                      1,                  0.995,                0.92166,                0.99931,                      1,                  0.995,                0.87037,                 0.4487,                0.88409,                0.33409,                 1.0674,             1.3903e-05,             1.3903e-05,             1.3903e-05
